run_id,created_time,experiment_id,mode,config_hash,seed,delay_setting,method,T,K,D_max,delay_meta_type,delay_meta_p,delay_meta_w,delay_meta_p_fast,delay_meta_p_slow,delay_meta_switch_t
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_causal_labelled_s006,2026-06-20T06:13:06.215141Z,toy,full,548dad5802,6,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_0_delay_oracle_s007,2026-06-20T06:13:06.234391Z,toy,full,548dad5802,7,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_naive_s007,2026-06-20T06:13:06.256262Z,toy,full,548dad5802,7,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_causal_labelled_s007,2026-06-20T06:13:06.278610Z,toy,full,548dad5802,7,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_oracle_s007,2026-06-20T06:13:06.297999Z,toy,full,548dad5802,7,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_naive_s007,2026-06-20T06:13:06.319228Z,toy,full,548dad5802,7,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_causal_labelled_s007,2026-06-20T06:13:06.340715Z,toy,full,548dad5802,7,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_piece_0.6to0.15_oracle_s007,2026-06-20T06:13:06.360981Z,toy,full,548dad5802,7,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_naive_s007,2026-06-20T06:13:06.382673Z,toy,full,548dad5802,7,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_causal_labelled_s007,2026-06-20T06:13:06.404428Z,toy,full,548dad5802,7,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_oracle_s007,2026-06-20T06:13:06.423828Z,toy,full,548dad5802,7,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_naive_s007,2026-06-20T06:13:06.444855Z,toy,full,548dad5802,7,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_causal_labelled_s007,2026-06-20T06:13:06.465693Z,toy,full,548dad5802,7,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_0_delay_oracle_s008,2026-06-20T06:13:06.484951Z,toy,full,548dad5802,8,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_naive_s008,2026-06-20T06:13:06.507068Z,toy,full,548dad5802,8,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_causal_labelled_s008,2026-06-20T06:13:06.529473Z,toy,full,548dad5802,8,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_oracle_s008,2026-06-20T06:13:06.548836Z,toy,full,548dad5802,8,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_naive_s008,2026-06-20T06:13:06.570314Z,toy,full,548dad5802,8,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_causal_labelled_s008,2026-06-20T06:13:06.591842Z,toy,full,548dad5802,8,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_piece_0.6to0.15_oracle_s008,2026-06-20T06:13:06.612038Z,toy,full,548dad5802,8,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_naive_s008,2026-06-20T06:13:06.634142Z,toy,full,548dad5802,8,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_causal_labelled_s008,2026-06-20T06:13:06.656123Z,toy,full,548dad5802,8,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_oracle_s008,2026-06-20T06:13:06.676142Z,toy,full,548dad5802,8,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_naive_s008,2026-06-20T06:13:06.697450Z,toy,full,548dad5802,8,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_causal_labelled_s008,2026-06-20T06:13:06.718325Z,toy,full,548dad5802,8,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_0_delay_oracle_s009,2026-06-20T06:13:06.737622Z,toy,full,548dad5802,9,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_naive_s009,2026-06-20T06:13:06.759224Z,toy,full,548dad5802,9,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_causal_labelled_s009,2026-06-20T06:13:06.781075Z,toy,full,548dad5802,9,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_oracle_s009,2026-06-20T06:13:06.800332Z,toy,full,548dad5802,9,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_naive_s009,2026-06-20T06:13:06.821435Z,toy,full,548dad5802,9,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_causal_labelled_s009,2026-06-20T06:13:06.842896Z,toy,full,548dad5802,9,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_piece_0.6to0.15_oracle_s009,2026-06-20T06:13:06.862676Z,toy,full,548dad5802,9,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_naive_s009,2026-06-20T06:13:06.884270Z,toy,full,548dad5802,9,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_causal_labelled_s009,2026-06-20T06:13:06.905894Z,toy,full,548dad5802,9,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_oracle_s009,2026-06-20T06:13:06.925263Z,toy,full,548dad5802,9,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_naive_s009,2026-06-20T06:13:06.946124Z,toy,full,548dad5802,9,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_causal_labelled_s009,2026-06-20T06:13:06.967078Z,toy,full,548dad5802,9,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
