mechanism_id,mechanism_display_name,route_id,route_display_name,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result
geometric_delay,Geometric delay,source_bound,Source-bound assignment,ranking_reversal_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,pairwise_sign_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,directed_choice_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,complete_conflict_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,mean_structural_conflict_margin,0,,,,,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,min_structural_conflict_margin,0,,,,,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,mean_route_conflict_margin,0,,,,,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,min_route_conflict_margin,0,,,,,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,margin_preservation_rate,30,1.0,0.0,1.0,1.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,mean_reversal_margin,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,empty_arrival_clock_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,multiarrival_clock_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,mean_route_map_age,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,generated_mean_delay,30,14.97058823529412,0.05510407114256539,14.85621454248366,15.074987254901961,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,alignment_budget_rate,30,0.21912965342307053,0.001678283350844829,0.21572518782575767,0.22232686976566438,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,structural_regret_rate,30,0.027408768547175468,0.00039058341651183876,0.0266349006553414,0.028163183169848328,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,route_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,transfer_bound_rate,30,0.21912965342307053,0.001678283350844829,0.21581878046728753,0.22224617198481486,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,transfer_slack_rate,30,0.19172088487589506,0.0013260063074486783,0.18893871018376773,0.19422770907536457,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,regret_stability_slack_rate,30,0.19172088487589506,0.0013260063074486783,0.18924583958713181,0.1941358802667198,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,ranking_reversal_rate,30,0.58616,0.002580606718289859,0.5809531666666666,0.5911211666666666,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,pairwise_sign_disagreement_rate,30,0.13714444444444443,0.0013681444086905,0.13437544444444444,0.13970756666666664,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,directed_choice_disagreement_rate,30,0.58616,0.002580606718289859,0.5812593333333336,0.5911801666666667,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,complete_conflict_rate,30,0.58616,0.002580606718289859,0.5811525,0.5911468333333333,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,mean_structural_conflict_margin,30,0.04673848081189798,0.0005841734669123386,0.04563183354321714,0.04780519581519565,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,min_structural_conflict_margin,30,9.370475239271513e-06,1.4796792070988677e-06,6.524870517387401e-06,1.2398267598187033e-05,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,mean_route_conflict_margin,30,0.005987518287947488,2.2496959272847628e-05,0.0059426753765291,0.0060304671505537755,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,min_route_conflict_margin,30,3.614382084017352e-06,5.694155390619772e-07,2.5461213279007073e-06,4.732514157111363e-06,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,margin_preservation_rate,30,0.10157333333333333,0.0010997066832896993,0.0993931666666667,0.1036668333333333,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,mean_reversal_margin,30,0.04673848081189798,0.0005841734669123386,0.045572108211493496,0.047818974647917685,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,empty_arrival_clock_rate,30,0.3552133333333334,0.0006809009132317613,0.35384649999999995,0.35658666666666666,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,multiarrival_clock_rate,30,0.26322,0.0006098313314954905,0.2620133333333333,0.26437333333333335,2000,0.95,full,False
mixture_delay,Mixture delay,arrival_assigned,Arrival-time assignment,mean_route_map_age,30,10.16436,0.06876903834199485,10.038045833333333,10.300358666666666,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,generated_mean_delay,30,14.97058823529412,0.05510407114256539,14.861757189542486,15.070975163398693,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,alignment_budget_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,structural_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,route_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,transfer_bound_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,transfer_slack_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,regret_stability_slack_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,ranking_reversal_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,pairwise_sign_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,directed_choice_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,complete_conflict_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,mean_structural_conflict_margin,0,,,,,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,min_structural_conflict_margin,0,,,,,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,mean_route_conflict_margin,0,,,,,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,min_route_conflict_margin,0,,,,,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,margin_preservation_rate,30,1.0,0.0,1.0,1.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,mean_reversal_margin,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,empty_arrival_clock_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,multiarrival_clock_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
mixture_delay,Mixture delay,source_bound,Source-bound assignment,mean_route_map_age,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
state_coupled_delay,State-coupled delay,arrival_assigned,Arrival-time assignment,generated_mean_delay,30,14.902045751633986,0.18892428762513444,14.538344281045749,15.284206699346404,2000,0.95,full,False
state_coupled_delay,State-coupled delay,arrival_assigned,Arrival-time assignment,alignment_budget_rate,30,0.24808823278502956,0.002304358610997467,0.24366586991783595,0.2523038978665366,2000,0.95,full,False
state_coupled_delay,State-coupled delay,arrival_assigned,Arrival-time assignment,structural_regret_rate,30,0.030269411935068005,0.0004751468018375961,0.029357573632411035,0.03112125374705978,2000,0.95,full,False
state_coupled_delay,State-coupled delay,arrival_assigned,Arrival-time assignment,route_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
state_coupled_delay,State-coupled delay,arrival_assigned,Arrival-time assignment,transfer_bound_rate,30,0.24808823278502956,0.002304358610997467,0.24351384695557254,0.2526679917202581,2000,0.95,full,False
state_coupled_delay,State-coupled delay,arrival_assigned,Arrival-time assignment,transfer_slack_rate,30,0.21781882084996157,0.0018569190987480757,0.21439990185286778,0.2215581889340388,2000,0.95,full,False
