seed,delay_state_coupling_beta,mean_delay,pending_at_horizon,pending_fraction,source_state_mismatch,ranking_reversal_rate,target_mean_delay,exact_match
7,1.5,2.0,6,0.0012,0.3032958950926694,0.1668001601922306,2,True
7,2.0,2.0,5,0.001,0.3020296558029248,0.1669669669669669,2,True
7,3.0,2.0,5,0.001,0.3064171182998109,0.1687687687687687,2,True
8,0.0,2.0,2,0.0004,0.1713650371282565,0.0630252100840336,2,True
8,0.25,2.0,2,0.0004,0.1953134300516095,0.0832332933173269,2,True
8,0.5,2.0,2,0.0004,0.2192796974746206,0.1040416166466586,2,True
8,1.0,2.0,5,0.001,0.2764852539027791,0.1527527527527527,2,True
8,1.5,2.0,6,0.0012,0.2919455628059412,0.1659991990388466,2,True
8,2.0,2.0,6,0.0012,0.2930156722840949,0.1682018422106528,2,True
8,3.0,2.0,6,0.0012,0.2935163576335186,0.1680016019223067,2,True
9,0.0,2.0,2,0.0004,0.179742043384109,0.0650260104041616,2,True
9,0.25,2.0,2,0.0004,0.2042276809909051,0.086234493797519,2,True
9,0.5,2.0,3,0.0006,0.2309299865721963,0.1070642385431258,2,True
9,1.0,2.0,4,0.0008,0.2833421297534434,0.1501200960768615,2,True
9,1.5,2.0,6,0.0012,0.3035168754363788,0.1663996796155386,2,True
9,2.0,2.0,6,0.0012,0.3039533226592256,0.1659991990388466,2,True
9,3.0,2.0,5,0.001,0.301211266755031,0.1647647647647647,2,True
10,0.0,2.0,2,0.0004,0.1772535519061431,0.062625050020008,2,True
10,0.25,2.0,3,0.0006,0.2024850754382492,0.0832499499699819,2,True
10,0.5,2.0,4,0.0008,0.2356336336460307,0.1100880704563651,2,True
10,1.0,2.0,5,0.001,0.2939944056935684,0.1571571571571571,2,True
10,1.5,2.0,7,0.0014,0.3106149921193983,0.1710394552373322,2,True
10,2.0,2.0,6,0.0012,0.3073446967871165,0.1688025630756908,2,True
10,3.0,2.0,6,0.0012,0.3074120365806474,0.1676011213456147,2,True
11,0.0,2.0,3,0.0006,0.1743084912494715,0.0656393836301781,2,True
11,0.25,2.0,3,0.0006,0.196370028922289,0.0848509105463277,2,True
11,0.5,2.0,3,0.0006,0.2241078139040455,0.1068641184710826,2,True
11,1.0,2.0,5,0.001,0.2778183744821097,0.1529529529529529,2,True
11,1.5,2.0,5,0.001,0.2948756605679291,0.1673673673673673,2,True
11,2.0,2.0,5,0.001,0.2953737281458863,0.1669669669669669,2,True
11,3.0,2.0,5,0.001,0.2948906936876173,0.1679679679679679,2,True
12,0.0,2.0,1,0.0002,0.1762238315562546,0.0610122024404881,2,True
12,0.25,2.0,3,0.0006,0.2025888325447295,0.0840504302581549,2,True
12,0.5,2.0,4,0.0008,0.2297724071695545,0.1064851881505204,2,True
12,1.0,2.0,5,0.001,0.2910402184142618,0.1545545545545545,2,True
12,1.5,2.0,6,0.0012,0.3053484045284582,0.1649979975971165,2,True
12,2.0,2.0,6,0.0012,0.3083276016313628,0.1678013616339607,2,True
12,3.0,2.0,6,0.0012,0.3068143282497087,0.1663996796155386,2,True
13,0.0,2.0,2,0.0004,0.17447993857174,0.0630252100840336,2,True
