seed,delay_state_coupling_beta,arrival_time_naive,source_labelled_reference,mean_delay,pending_at_horizon,pending_fraction,source_state_mismatch,ranking_reversal_rate,source_binding_advantage
2,0.5,0.5848057955235638,0.2972390275573855,2.0,3,0.0006,0.2328692705320328,0.1044626776065639,0.2875667679661783
2,1.0,0.6171566728266696,0.2915029011330555,2.0,3,0.0006,0.2923072489274232,0.1510906543926355,0.32565377169361415
2,1.5,0.6335383544835996,0.2839723883369188,2.0,6,0.0012,0.3143533572710214,0.1676011213456147,0.34956596614668084
2,2.0,0.5874828351161331,0.2850718425206115,2.0,6,0.0012,0.3171724341059641,0.1696035242290749,0.30241099259552157
2,3.0,0.607137552145429,0.2863988936917516,2.0,6,0.0012,0.3174646624172756,0.1696035242290749,0.3207386584536774
3,0.0,0.5969639200059313,0.2861565169043731,2.0,2,0.0004,0.185936546530546,0.0662264905962385,0.31080740310155824
3,0.25,0.5841092595015162,0.2844185492490881,2.0,2,0.0004,0.2107034313065909,0.0856342537014805,0.29969071025242805
3,0.5,0.583682881361395,0.275311437523113,2.0,3,0.0006,0.2390444844657628,0.1082649589753852,0.308371443838282
3,1.0,0.5851999218525766,0.2804666030266445,2.0,6,0.0012,0.296882567172854,0.1527833400080096,0.30473331882593213
3,1.5,0.6440063852130156,0.2717426444475664,2.0,6,0.0012,0.3155406835812354,0.1680016019223067,0.37226374076544916
3,2.0,0.5986257765190945,0.2728103170303503,2.0,6,0.0012,0.314402162948208,0.1676011213456147,0.32581545948874424
3,3.0,0.6265896800808625,0.2754592399456421,2.0,6,0.0012,0.315933736641949,0.1688025630756908,0.3511304401352204
4,0.0,0.5824095114734945,0.2843922385211784,2.0,2,0.0004,0.18307055970672,0.0666266506602641,0.2980172729523161
4,0.25,0.5987439128856245,0.2787936039439785,2.0,2,0.0004,0.2083238466519074,0.0868347338935574,0.31995030894164594
4,0.5,0.5657938494596649,0.2884614114971551,2.0,3,0.0006,0.234519507457351,0.1090654392635581,0.27733243796250984
4,1.0,0.5888579572668886,0.2734911961999096,2.0,4,0.0008,0.292445437405779,0.1535228182546036,0.31536676106697903
4,1.5,0.6182721105276018,0.2666940441706097,2.0,6,0.0012,0.3099333816029316,0.1684020824989988,0.35157806635699207
4,2.0,0.6164943184173717,0.2682860024799821,2.0,6,0.0012,0.310411179166122,0.1688025630756908,0.3482083159373896
4,3.0,0.5973537435753228,0.2715723461594084,2.0,6,0.0012,0.3099082164758154,0.1678013616339607,0.3257813974159144
5,0.0,0.5998134663598171,0.2885887137915472,2.0,2,0.0004,0.179972079470584,0.0642256902761104,0.3112247525682699
5,0.25,0.5574756807105745,0.2880174784787699,2.0,3,0.0006,0.2064493473452029,0.0858515109065439,0.2694582022318046
5,0.5,0.5939165010588262,0.2909237856992662,2.0,4,0.0008,0.232599440696777,0.1048839071257005,0.30299271535956
5,1.0,0.5857787685093513,0.2813871061432788,2.0,4,0.0008,0.2890656404326613,0.149519615692554,0.3043916623660725
5,1.5,0.6287559762347938,0.272619143445512,2.0,5,0.001,0.3100252160185777,0.1661661661661661,0.3561368327892818
5,2.0,0.6106903342948202,0.2821738870014724,2.0,4,0.0008,0.3098821795191417,0.166533226581265,0.32851644729334784
5,3.0,0.6300862387370972,0.2787842079020399,2.0,4,0.0008,0.3107397356356678,0.1673338670936749,0.35130203083505734
6,0.0,0.6127129335118002,0.2930956212706312,2.0,2,0.0004,0.1729277090990692,0.063625450180072,0.319617312241169
6,0.25,0.6053226562236427,0.3008355150884813,2.0,3,0.0006,0.2007373429160263,0.085051030618371,0.3044871411351614
6,0.5,0.6020737397860252,0.2816898376560539,2.0,3,0.0006,0.2276749928399047,0.1076645987592555,0.3203839021299713
6,1.0,0.5755103894290964,0.2824535015958044,2.0,5,0.001,0.2788791314104669,0.1513513513513513,0.293056887833292
6,1.5,0.6169603023133194,0.2818893420369597,2.0,6,0.0012,0.2940349900927044,0.1647977573087705,0.33507096027635974
6,2.0,0.5717884593519779,0.280616585799824,2.0,6,0.0012,0.2915753134109323,0.1653984781738085,0.29117187355215385
6,3.0,0.6058702772457013,0.2832478094757606,2.0,5,0.001,0.2928502055853653,0.1655655655655655,0.3226224677699407
7,0.0,0.5401257432156968,0.2779153413046587,2.0,2,0.0004,0.1723306936578834,0.0630252100840336,0.2622104019110381
