metric_id,point_estimate,finite_resampling_count,resampling_mean,resampling_median,resampling_sd,resampling_bias,absolute_bias_over_sd,sensitivity_range_level,sensitivity_range_method,sensitivity_lower,sensitivity_upper,point_inside_sensitivity_range,formal_ci_validated,legacy_basic_lower_audit_only,legacy_basic_upper_audit_only,point_inside_legacy_basic_audit,parameter_lower_bound,parameter_upper_bound,object_type,object_id
mean_observed_target,2.873195667492259,1000,2.8698520756150008,2.8701100854356465,0.02926443869676166,-0.0033435918772584117,0.11425443391908988,0.95,percentile_user_cluster_sensitivity,2.8121140954212147,2.9246429854766935,True,False,2.821748349507825,2.9342772395633037,True,0.0,,calibration_decile,ridge_proxy__decile_02
mean_observed_target,2.907120104659505,1000,2.9048601600340853,2.9042874545369335,0.03092723216326034,-0.0022599446254196742,0.07307296732826773,0.95,percentile_user_cluster_sensitivity,2.8413211673475263,2.965474914680846,True,False,2.848765294638164,2.9729190419714837,True,0.0,,calibration_decile,ridge_proxy__decile_03
mean_observed_target,2.9779249041006373,1000,2.979123484779443,2.978638938576987,0.02967322306022737,0.0011985806788059605,0.04039266905294434,0.95,percentile_user_cluster_sensitivity,2.9208747622607714,3.0364452750043713,True,False,2.919404533196903,3.034975045940503,True,0.0,,calibration_decile,ridge_proxy__decile_04
mean_observed_target,2.994697994315471,1000,2.9965511424206475,2.996771171862709,0.023891370099004872,0.0018531481051766718,0.07756558529281916,0.95,percentile_user_cluster_sensitivity,2.951605684015012,3.044305776259762,True,False,2.9450902123711797,3.0377903046159296,True,0.0,,calibration_decile,ridge_proxy__decile_05
mean_observed_target,3.049832417257356,1000,3.049076016588544,3.048701960724481,0.02515603366842059,-0.0007564006688118852,0.030068359693818752,0.95,percentile_user_cluster_sensitivity,3.003369927838764,3.1014121552194713,True,False,2.998252679295241,3.096294906675948,True,0.0,,calibration_decile,ridge_proxy__decile_06
mean_observed_target,3.059840663660271,1000,3.0562925306278816,3.05637946232684,0.026540299166961726,-0.0035481330323894333,0.13368850931440407,0.95,percentile_user_cluster_sensitivity,3.005448662155777,3.1082474763824615,True,False,3.0114338509380807,3.114232665164765,True,0.0,,calibration_decile,ridge_proxy__decile_07
mean_observed_target,3.111970405699842,1000,3.109578557927252,3.109907799972824,0.024775956895889108,-0.002391847772590161,0.0965390673967076,0.95,percentile_user_cluster_sensitivity,3.0633934781593815,3.162709662847847,True,False,3.0612311485518373,3.1605473332403027,True,0.0,,calibration_decile,ridge_proxy__decile_08
mean_observed_target,3.1341743967566744,1000,3.1318404703479654,3.1313042565759934,0.028866914093745078,-0.0023339264087089973,0.08085126110569317,0.95,percentile_user_cluster_sensitivity,3.078756785997036,3.190430214015529,True,False,3.07791857949782,3.1895920075163127,True,0.0,,calibration_decile,ridge_proxy__decile_09
mean_observed_target,3.3168898085705094,1000,3.314565703625009,3.3146077101765345,0.034582355089133765,-0.0023241049455005047,0.06720493556642616,0.95,percentile_user_cluster_sensitivity,3.24292462858107,3.378903134571436,True,False,3.254876482569583,3.390854988559949,True,0.0,,calibration_decile,ridge_proxy__decile_10
action_coverage,0.9247058823529412,1000,0.8641794117647058,0.8647058823529413,0.02244084383651676,-0.06052647058823535,2.6971566233950584,0.95,percentile_user_cluster_sensitivity,0.8176323529411764,0.9064852941176472,False,False,0.9429264705882351,1.0,False,0.0,1.0,support_metric,evaluation_support
